"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 10:43:18 CST 2021","Wed Sep 08 10:43:39 CST 2021","21106","testcase2.个人中心","test_info","TestInfo","","","哈哈哈，用户信息得标题呀1","1111111描述"
"passed","Wed Sep 08 10:43:39 CST 2021","Wed Sep 08 10:44:01 CST 2021","21095","testcase2.个人中心","test_info","TestInfo","","","哈哈哈，用户信息得标题呀1","2222222描述"
